City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Rewari,IN,28.1833,76.6167,84.2,20,1,4.54,haze
315,Port-Gentil,GA,-0.7193,8.7815,78.8,94,40,3.44,light rain
316,Sioux Lookout,CA,50.1001,-91.917,35.6,93,90,5.75,light intensity drizzle
317,Torbay,CA,47.6666,-52.7314,35.01,100,90,5.75,moderate rain
318,Halifax,CA,44.6453,-63.5724,48.0,42,0,10.36,clear sky
319,Kichera,RU,55.9375,110.0997,9.16,78,24,4.45,few clouds
320,Spring Valley,US,36.108,-115.245,78.01,8,75,3.65,broken clouds
321,Tias,ES,28.9611,-13.645,75.2,57,20,12.66,few clouds
322,Makakilo City,US,21.3469,-158.0858,68.0,68,90,5.75,overcast clouds
323,Ancud,CL,-41.8697,-73.8203,57.2,100,90,12.66,mist
324,Bonfim,BR,3.0833,-59.95,77.23,79,100,5.48,overcast clouds
325,Pontes E Lacerda,BR,-15.2261,-59.3353,89.04,56,13,0.65,few clouds
326,Abu Dhabi,AE,24.4667,54.3667,91.4,51,0,8.05,clear sky
327,Filingue,NE,14.3521,3.3168,105.31,3,13,4.38,few clouds
328,La Ronge,CA,55.1001,-105.2842,28.4,74,100,12.66,overcast clouds
329,Semirom,IR,31.4167,51.5667,47.44,65,98,6.15,overcast clouds
330,Alice Springs,AU,-23.7,133.8833,54.0,62,48,6.91,scattered clouds
331,Pangnirtung,CA,66.1451,-65.7125,26.6,68,40,10.36,scattered clouds
332,Leningradskiy,RU,69.3833,178.4167,-22.23,98,56,6.73,broken clouds
333,Marica,BR,-22.9194,-42.8186,88.0,65,0,5.75,clear sky
334,Hvide Sande,DK,56.0045,8.1294,37.99,82,100,1.99,overcast clouds
335,Sawakin,SD,19.1059,37.3321,76.15,58,1,13.85,clear sky
336,Nola,IT,40.922,14.5329,63.0,67,0,3.44,clear sky
337,Nantucket,US,41.2835,-70.0995,53.6,82,90,20.71,overcast clouds
