City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Nanyamba,TZ,77.0,light rain,-10.6833,39.8333,Busati Lodge Nanyamba
551,San Antonio,US,80.01,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
552,San Jose De Gracia,MX,78.93,broken clouds,20.6667,-102.5833,ingiaterra
553,Balotra,IN,89.4,clear sky,25.8333,72.2333,Hotel City Square
556,Yurimaguas,PE,84.2,few clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
557,Sinjai,ID,73.63,clear sky,-5.1241,120.25299999999999,Wisma Sandika
559,Calama,CL,71.6,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
561,Vallenar,CL,81.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
564,Jibuti,DJ,82.4,few clouds,11.5,42.5,Orchid Main Camp Goubet
570,Kalikapur,IN,86.29,scattered clouds,22.6167,86.2833,Agrasen Bhawan
573,Kendari,ID,75.04,scattered clouds,-3.945,122.4989,Hotel Wixel
574,Rosa Zarate,EC,80.35,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
579,Tocache,PE,85.42,broken clouds,-8.1842,-76.5125,Hotel Ortiz
582,Sao Joao Del Rei,BR,77.0,few clouds,-21.1356,-44.2617,Solara Hotel
587,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
590,Dharmapuri,IN,78.76,scattered clouds,12.1333,78.1667,Saravana Inn
591,Santo Antonio Da Platina,BR,87.48,clear sky,-23.295,-50.0772,Hotel Kanôa Tropical
595,Malartic,CA,72.0,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
596,Karangasem,ID,80.6,few clouds,-8.45,115.6167,Villa Campuhan
601,Sokoni,TZ,80.6,light rain,-6.4333,39.55,Ujamaa Beach Resort
602,Berbera,SO,80.94,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
604,Port Shepstone,ZA,76.15,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
605,Daur,PK,87.8,haze,26.4583,68.3192,Khanzada goods transport
606,Empangeni,ZA,70.07,clear sky,-28.761999999999997,31.8933,Peermont Metcourt Hotel at Umfolozi
608,Zhuhai,CN,75.99,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
609,Iquitos,PE,86.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
612,Kampong Thum,KH,76.51,overcast clouds,12.7111,104.8887,Sambor Village Hotel
614,Buala,SB,78.49,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
615,Venustiano Carranza,MX,73.4,clear sky,19.43,-99.0992,We Hotel Aeropuerto
618,Sao Jose Da Coroa Grande,BR,82.02,light rain,-8.8978,-35.1478,Crôa Mares Hotel
621,Mae Ramat,TH,75.58,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
622,Biak,ID,76.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
